dataset,seed,tau,n_conflict_hh,conflict_moran_i,jaccard
compas,0,0.3,154.0,0.18955864560312596,
compas,0,0.5,76.0,0.12994532157024546,
compas,0,0.7,109.0,0.14085016053046098,
compas,0,"J(0.3,0.5)",,,0.0
compas,0,"J(0.3,0.7)",,,0.0
compas,0,"J(0.5,0.7)",,,0.0
compas,1,0.3,150.0,0.24186426532569824,
compas,1,0.5,94.0,0.1600110919269756,
compas,1,0.7,128.0,0.2349345626253917,
compas,1,"J(0.3,0.5)",,,0.0
compas,1,"J(0.3,0.7)",,,0.0
compas,1,"J(0.5,0.7)",,,0.02304147465437788
compas,2,0.3,99.0,0.14844612784890887,
compas,2,0.5,75.0,0.12836494751246774,
compas,2,0.7,137.0,0.2507465951155025,
compas,2,"J(0.3,0.5)",,,0.0
compas,2,"J(0.3,0.7)",,,0.0
compas,2,"J(0.5,0.7)",,,0.0
compas,3,0.3,205.0,0.27945365538585626,
compas,3,0.5,150.0,0.21731042491995636,
compas,3,0.7,132.0,0.2621820722283936,
compas,3,"J(0.3,0.5)",,,0.0
compas,3,"J(0.3,0.7)",,,0.0
compas,3,"J(0.5,0.7)",,,0.0
compas,4,0.3,155.0,0.17068242646442958,
compas,4,0.5,104.0,0.14745562018957903,
compas,4,0.7,182.0,0.3063493012876076,
compas,4,"J(0.3,0.5)",,,0.0
compas,4,"J(0.3,0.7)",,,0.0
compas,4,"J(0.5,0.7)",,,0.0035087719298245615
compas,5,0.3,133.0,0.16546238862361856,
compas,5,0.5,119.0,0.20952248665555578,
compas,5,0.7,142.0,0.3223682802247583,
compas,5,"J(0.3,0.5)",,,0.0
compas,5,"J(0.3,0.7)",,,0.0
compas,5,"J(0.5,0.7)",,,0.0
compas,6,0.3,160.0,0.27284303166036744,
compas,6,0.5,138.0,0.18434277043217445,
compas,6,0.7,177.0,0.3034970167978467,
compas,6,"J(0.3,0.5)",,,0.0
compas,6,"J(0.3,0.7)",,,0.0
compas,6,"J(0.5,0.7)",,,0.0
compas,7,0.3,169.0,0.23528823162924634,
compas,7,0.5,102.0,0.20676841092162476,
compas,7,0.7,171.0,0.357617607304831,
compas,7,"J(0.3,0.5)",,,0.007434944237918215
compas,7,"J(0.3,0.7)",,,0.0
compas,7,"J(0.5,0.7)",,,0.007380073800738007
compas,8,0.3,216.0,0.30044463074348393,
compas,8,0.5,118.0,0.17474990443200683,
compas,8,0.7,171.0,0.3129242907999965,
compas,8,"J(0.3,0.5)",,,0.0
compas,8,"J(0.3,0.7)",,,0.0
compas,8,"J(0.5,0.7)",,,0.014035087719298246
compas,9,0.3,102.0,0.2106986256979874,
compas,9,0.5,103.0,0.15922217707171732,
compas,9,0.7,134.0,0.2630944041901392,
compas,9,"J(0.3,0.5)",,,0.004901960784313725
compas,9,"J(0.3,0.7)",,,0.0
compas,9,"J(0.5,0.7)",,,0.0
german,0,0.3,3.0,0.08856536926147708,
german,0,0.5,0.0,0.0661495457721873,
german,0,0.7,0.0,0.02181191531265387,
german,0,"J(0.3,0.5)",,,0.0
german,0,"J(0.3,0.7)",,,0.0
german,0,"J(0.5,0.7)",,,1.0
german,1,0.3,0.0,0.054858412653143736,
german,1,0.5,2.0,0.10219256933542648,
german,1,0.7,0.0,0.009484921857803228,
german,1,"J(0.3,0.5)",,,0.0
german,1,"J(0.3,0.7)",,,1.0
german,1,"J(0.5,0.7)",,,0.0
german,2,0.3,0.0,0.06310194047457364,
german,2,0.5,0.0,0.04155790923399791,
german,2,0.7,0.0,0.01568361458054997,
german,2,"J(0.3,0.5)",,,1.0
german,2,"J(0.3,0.7)",,,1.0
german,2,"J(0.5,0.7)",,,1.0
german,3,0.3,1.0,0.05420008537215521,
german,3,0.5,0.0,0.03155797038251558,
german,3,0.7,0.0,0.025393947174171205,
german,3,"J(0.3,0.5)",,,0.0
german,3,"J(0.3,0.7)",,,0.0
german,3,"J(0.5,0.7)",,,1.0
german,4,0.3,1.0,0.07916397903579447,
german,4,0.5,0.0,0.066448802315707,
german,4,0.7,0.0,0.03396133675755009,
german,4,"J(0.3,0.5)",,,0.0
german,4,"J(0.3,0.7)",,,0.0
german,4,"J(0.5,0.7)",,,1.0
german,5,0.3,3.0,0.09760279965004379,
german,5,0.5,1.0,0.06113240767652819,
german,5,0.7,0.0,0.024416235432527123,
german,5,"J(0.3,0.5)",,,0.0
german,5,"J(0.3,0.7)",,,0.0
german,5,"J(0.5,0.7)",,,0.0
german,6,0.3,0.0,0.06152526637911603,
german,6,0.5,0.0,0.061413773759670234,
german,6,0.7,0.0,0.011181195904282397,
german,6,"J(0.3,0.5)",,,1.0
german,6,"J(0.3,0.7)",,,1.0
german,6,"J(0.5,0.7)",,,1.0
german,7,0.3,0.0,0.09795403287128662,
german,7,0.5,0.0,0.04065419684943447,
german,7,0.7,0.0,0.0043985768438697835,
german,7,"J(0.3,0.5)",,,1.0
german,7,"J(0.3,0.7)",,,1.0
german,7,"J(0.5,0.7)",,,1.0
german,8,0.3,0.0,0.001185129740518968,
german,8,0.5,0.0,-0.013605717367853307,
german,8,0.7,0.0,0.009652777777777786,
german,8,"J(0.3,0.5)",,,1.0
german,8,"J(0.3,0.7)",,,1.0
german,8,"J(0.5,0.7)",,,1.0
german,9,0.3,6.0,0.10033435376365095,
german,9,0.5,2.0,0.06740928488793523,
german,9,0.7,0.0,0.021052979314425894,
german,9,"J(0.3,0.5)",,,0.0
german,9,"J(0.3,0.7)",,,0.0
german,9,"J(0.5,0.7)",,,0.0
breast_cancer,0,0.3,0.0,0.014998312900686095,
breast_cancer,0,0.5,0.0,0.0058930140597539555,
breast_cancer,0,0.7,0.0,0.01842723004694838,
breast_cancer,0,"J(0.3,0.5)",,,1.0
breast_cancer,0,"J(0.3,0.7)",,,1.0
breast_cancer,0,"J(0.5,0.7)",,,1.0
breast_cancer,1,0.3,2.0,0.048441814595660715,
breast_cancer,1,0.5,0.0,0.0320962300132023,
breast_cancer,1,0.7,0.0,0.026981998643733445,
breast_cancer,1,"J(0.3,0.5)",,,0.0
breast_cancer,1,"J(0.3,0.7)",,,0.0
breast_cancer,1,"J(0.5,0.7)",,,1.0
breast_cancer,2,0.3,1.0,0.022344257454974915,
breast_cancer,2,0.5,0.0,0.01179744017807455,
breast_cancer,2,0.7,0.0,0.03267815438995139,
breast_cancer,2,"J(0.3,0.5)",,,0.0
breast_cancer,2,"J(0.3,0.7)",,,0.0
breast_cancer,2,"J(0.5,0.7)",,,1.0
breast_cancer,3,0.3,0.0,0.011016049873988593,
breast_cancer,3,0.5,0.0,0.01292094245850413,
breast_cancer,3,0.7,0.0,0.019209025641025647,
breast_cancer,3,"J(0.3,0.5)",,,1.0
breast_cancer,3,"J(0.3,0.7)",,,1.0
breast_cancer,3,"J(0.5,0.7)",,,1.0
breast_cancer,4,0.3,0.0,-0.0013264869490800207,
breast_cancer,4,0.5,0.0,-0.005780346820809249,
breast_cancer,4,0.7,1.0,0.003273809523809529,
breast_cancer,4,"J(0.3,0.5)",,,1.0
breast_cancer,4,"J(0.3,0.7)",,,0.0
breast_cancer,4,"J(0.5,0.7)",,,0.0
breast_cancer,5,0.3,0.0,0.0019960079840319425,
breast_cancer,5,0.5,0.0,-0.016963226571767506,
breast_cancer,5,0.7,0.0,-0.013216388566306055,
breast_cancer,5,"J(0.3,0.5)",,,1.0
breast_cancer,5,"J(0.3,0.7)",,,1.0
breast_cancer,5,"J(0.5,0.7)",,,1.0
breast_cancer,6,0.3,1.0,-0.005175364651186569,
breast_cancer,6,0.5,1.0,0.034360346677274306,
breast_cancer,6,0.7,0.0,0.0005424020662935813,
breast_cancer,6,"J(0.3,0.5)",,,1.0
breast_cancer,6,"J(0.3,0.7)",,,0.0
breast_cancer,6,"J(0.5,0.7)",,,0.0
breast_cancer,7,0.3,0.0,0.06057747695852535,
breast_cancer,7,0.5,0.0,0.04388660221435182,
breast_cancer,7,0.7,0.0,0.019682835820895528,
breast_cancer,7,"J(0.3,0.5)",,,1.0
breast_cancer,7,"J(0.3,0.7)",,,1.0
breast_cancer,7,"J(0.5,0.7)",,,1.0
breast_cancer,8,0.3,0.0,-0.0048797250859106515,
breast_cancer,8,0.5,3.0,0.024282560706401758,
breast_cancer,8,0.7,0.0,0.02312626368263263,
breast_cancer,8,"J(0.3,0.5)",,,0.0
breast_cancer,8,"J(0.3,0.7)",,,1.0
breast_cancer,8,"J(0.5,0.7)",,,0.0
breast_cancer,9,0.3,0.0,-0.004877574815390593,
breast_cancer,9,0.5,0.0,0.020314839545141843,
breast_cancer,9,0.7,0.0,-0.012536873156342183,
breast_cancer,9,"J(0.3,0.5)",,,1.0
breast_cancer,9,"J(0.3,0.7)",,,1.0
breast_cancer,9,"J(0.5,0.7)",,,1.0
