dataset,pool_type,subset,family,hp_name,mean_importance,std_importance,n_seeds,mean_V_m,mean_rank,rank_freq_top1,rank_freq_top3,grouping_type,n_groups,min_group_size
adult,Rashomon,HH,GBM,learning_rate,0.29007714882287444,0.12119447380846732,10,0.004172325576176717,1.5,0.5,1.0,numeric_exact,3.3,4.2
adult,Rashomon,HH,GBM,max_depth,0.17014451088653096,0.10702984782283115,10,0.004190271400784611,2.5,0.2,0.9,numeric_exact,3.9,3.6
adult,Rashomon,HH,GBM,n_estimators,0.12988726113031346,0.12313819304247632,10,0.004193814015048628,2.7,0.3,0.6,numeric_exact,3.0,5.4
adult,Rashomon,HH,GBM,subsample,0.05618612909290035,0.06692496998842325,10,0.004193814015048628,3.3,0.0,0.5,numeric_exact,3.0,5.9
adult,Rashomon,HH,LogReg,C,0.3339051664080593,0.17697882185102187,10,0.00013390503613126335,1.0,1.0,1.0,numeric_tertile,3.0,5.4
adult,Rashomon,HH,LogReg,l1_ratio,0.05991459917842716,0.048867410418929,10,0.00013390503613126335,2.0,0.0,1.0,numeric_tertile,3.0,4.3
adult,Rashomon,HH,MLP,learning_rate_init,0.4374696914444698,0.16399360065222873,10,0.005039758442483998,1.3,0.8,1.0,numeric_exact,3.0,4.8
adult,Rashomon,HH,MLP,hidden_layer_sizes,0.1688452063948666,0.11088445178263927,10,0.005044193304332367,2.5,0.2,0.7,categorical_exact,4.9,3.3
adult,Rashomon,HH,MLP,alpha,0.12939345937515284,0.12730752688939415,10,0.005039758442483998,3.3,0.0,0.5,numeric_exact,4.0,4.5
adult,Rashomon,HH,MLP,activation,0.1238413025812918,0.08265010679604125,10,0.005039758442483998,2.9,0.0,0.8,categorical_exact,2.0,10.5
adult,Rashomon,HH,RF,max_features,0.7120671614623307,0.16757682799826393,10,0.00947791834157915,1.0,1.0,1.0,categorical_exact,2.9,5.3
adult,Rashomon,HH,RF,min_samples_leaf,0.11363068950710944,0.08762247532231086,10,0.00947791834157915,3.5,0.0,0.4,numeric_exact,3.0,5.1
adult,Rashomon,HH,RF,min_samples_split,0.08887840735597016,0.06839785008586391,10,0.00947791834157915,3.1,0.0,0.8,numeric_exact,3.0,5.3
adult,Rashomon,HH,RF,max_depth,0.08847639747181177,0.09759988167337513,10,0.009332017143672367,3.7,0.0,0.4,numeric_exact,3.0,3.1
adult,Rashomon,HH,RF,n_estimators,0.06787130929425976,0.07687014647030865,10,0.00947791834157915,3.7,0.0,0.4,numeric_exact,3.0,6.0
adult,Rashomon,HH,kNN,n_neighbors,0.34677223576374355,0.17911386182811861,10,0.0061790259656843765,1.4,0.6,1.0,numeric_tertile,3.0,5.0
adult,Rashomon,HH,kNN,p,0.19228519406897138,0.17169504900741084,10,0.0061790259656843765,1.9,0.4,1.0,numeric_exact,2.0,9.7
adult,Rashomon,HH,kNN,weights,0.06700542923419645,0.04562157450135807,10,0.0061790259656843765,2.7,0.0,1.0,categorical_exact,2.0,11.6
adult,Rashomon,all,GBM,learning_rate,0.2442111030971446,0.08785338119413162,10,0.0013761245910794443,1.3,0.7,1.0,numeric_exact,3.3,4.2
adult,Rashomon,all,GBM,max_depth,0.1166964902110067,0.0911429662137448,10,0.001383802612220297,2.5,0.1,0.9,numeric_exact,3.9,3.6
adult,Rashomon,all,GBM,n_estimators,0.1125272951913198,0.09696323614993477,10,0.0013830996661781075,2.7,0.2,0.7,numeric_exact,3.0,5.4
adult,Rashomon,all,GBM,subsample,0.04368257931022244,0.048021400505563513,10,0.0013830996661781075,3.5,0.0,0.4,numeric_exact,3.0,5.9
adult,Rashomon,all,LogReg,C,0.34357895205497463,0.17374296521038524,10,5.6473741242153336e-05,1.0,1.0,1.0,numeric_tertile,3.0,5.4
adult,Rashomon,all,LogReg,l1_ratio,0.062408935156122024,0.055824936793082196,10,5.6473741242153336e-05,2.0,0.0,1.0,numeric_tertile,3.0,4.3
adult,Rashomon,all,MLP,learning_rate_init,0.5129375452398811,0.1795730107624258,10,0.0015489658167271467,1.2,0.8,1.0,numeric_exact,3.0,4.8
adult,Rashomon,all,MLP,hidden_layer_sizes,0.1587439623143393,0.11632670158795563,10,0.0015493237182419256,2.6,0.2,0.7,categorical_exact,4.9,3.3
adult,Rashomon,all,MLP,alpha,0.1380601178930192,0.14231817727173512,10,0.0015489658167271467,3.1,0.0,0.6,numeric_exact,4.0,4.5
adult,Rashomon,all,MLP,activation,0.11249104003768096,0.06845615972352401,10,0.0015489658167271467,3.1,0.0,0.7,categorical_exact,2.0,10.5
adult,Rashomon,all,RF,max_features,0.5404602982054647,0.16192815047941117,10,0.0025249638954843567,1.0,1.0,1.0,categorical_exact,2.9,5.3
adult,Rashomon,all,RF,max_depth,0.11287611544241416,0.09319582322682601,10,0.00244927230723135,3.4,0.0,0.5,numeric_exact,3.0,3.1
adult,Rashomon,all,RF,min_samples_leaf,0.10651105341578351,0.05251623292914402,10,0.0025249638954843567,3.3,0.0,0.5,numeric_exact,3.0,5.1
adult,Rashomon,all,RF,n_estimators,0.09449319588757436,0.07588465610824206,10,0.0025249638954843567,3.2,0.0,0.7,numeric_exact,3.0,6.0
adult,Rashomon,all,RF,min_samples_split,0.08588901820542535,0.0712801286458281,10,0.0025249638954843567,4.1,0.0,0.3,numeric_exact,3.0,5.3
adult,Rashomon,all,kNN,n_neighbors,0.5904884764811508,0.076171327945638,10,0.001627530227563282,1.0,1.0,1.0,numeric_tertile,3.0,5.0
adult,Rashomon,all,kNN,weights,0.11336695248417201,0.04195923499572263,10,0.001627530227563282,2.0,0.0,1.0,categorical_exact,2.0,11.6
adult,Rashomon,all,kNN,p,0.020820033475775584,0.018616427568199426,10,0.001627530227563282,3.0,0.0,1.0,numeric_exact,2.0,9.7
adult,Rashomon,non_HH,GBM,learning_rate,0.22442741898687904,0.0909266877562016,10,0.001133955193344026,1.4,0.6,1.0,numeric_exact,3.3,4.2
adult,Rashomon,non_HH,GBM,max_depth,0.1169017846665578,0.08507438947933822,10,0.0011408038653503007,2.4,0.2,0.9,numeric_exact,3.9,3.6
adult,Rashomon,non_HH,GBM,n_estimators,0.10474855212059928,0.08635383274482863,10,0.0011397222318017043,2.6,0.2,0.8,numeric_exact,3.0,5.4
adult,Rashomon,non_HH,GBM,subsample,0.05098316401045131,0.043829755838929764,10,0.0011397222318017043,3.6,0.0,0.3,numeric_exact,3.0,5.9
adult,Rashomon,non_HH,LogReg,C,0.3449159753907397,0.1732116908411825,10,4.990645219553354e-05,1.0,1.0,1.0,numeric_tertile,3.0,5.4
adult,Rashomon,non_HH,LogReg,l1_ratio,0.06296200528397447,0.05711242999829821,10,4.990645219553354e-05,2.0,0.0,1.0,numeric_tertile,3.0,4.3
adult,Rashomon,non_HH,MLP,learning_rate_init,0.5200472380612757,0.18385412074806914,10,0.0012481728871701892,1.2,0.8,1.0,numeric_exact,3.0,4.8
adult,Rashomon,non_HH,MLP,hidden_layer_sizes,0.15596965898120957,0.1161883024010974,10,0.0012481671396419457,2.6,0.2,0.7,categorical_exact,4.9,3.3
adult,Rashomon,non_HH,MLP,alpha,0.14009814469644705,0.14710283783378097,10,0.0012481728871701892,3.1,0.0,0.6,numeric_exact,4.0,4.5
adult,Rashomon,non_HH,MLP,activation,0.10604182701374117,0.060072829939632276,10,0.0012481728871701892,3.1,0.0,0.7,categorical_exact,2.0,10.5
adult,Rashomon,non_HH,RF,max_features,0.43181264847363493,0.18976827741438929,10,0.0019240788216189943,1.5,0.8,0.9,categorical_exact,2.9,5.3
adult,Rashomon,non_HH,RF,max_depth,0.16606606564947596,0.09840943698234209,10,0.0018534618478734245,2.7,0.0,0.8,numeric_exact,3.0,3.1
adult,Rashomon,non_HH,RF,min_samples_leaf,0.11929318897425797,0.07351440348678923,10,0.0019240788216189943,3.2,0.1,0.5,numeric_exact,3.0,5.1
adult,Rashomon,non_HH,RF,n_estimators,0.11491688863456855,0.10603509121366832,10,0.0019240788216189943,3.3,0.1,0.6,numeric_exact,3.0,6.0
adult,Rashomon,non_HH,RF,min_samples_split,0.09239028728963186,0.08544611087784461,10,0.0019240788216189943,4.3,0.0,0.2,numeric_exact,3.0,5.3
adult,Rashomon,non_HH,kNN,n_neighbors,0.6122816077433684,0.058129191814697015,10,0.0012341669225576003,1.0,1.0,1.0,numeric_tertile,3.0,5.0
adult,Rashomon,non_HH,kNN,weights,0.11706665043868773,0.04547478997674088,10,0.0012341669225576003,2.1,0.0,1.0,categorical_exact,2.0,11.6
adult,Rashomon,non_HH,kNN,p,0.06283264146869874,0.027825849491890115,10,0.0012341669225576003,2.9,0.0,1.0,numeric_exact,2.0,9.7
adult,full_pool,HH,GBM,learning_rate,0.3524020806729587,0.08104290016372316,10,0.012076074615483398,1.0,1.0,1.0,numeric_exact,4.0,9.9
adult,full_pool,HH,GBM,n_estimators,0.09657295043138754,0.06098065293112722,10,0.012076074615483398,2.3,0.0,0.9,numeric_exact,3.0,14.2
adult,full_pool,HH,GBM,max_depth,0.03327659555389599,0.02169276494101481,10,0.012076074615483398,3.1,0.0,0.7,numeric_exact,4.0,9.7
adult,full_pool,HH,GBM,subsample,0.020518332283162792,0.014846762808286255,10,0.012076074615483398,3.6,0.0,0.4,numeric_exact,3.0,13.9
adult,full_pool,HH,LogReg,C,0.3072602668220316,0.05587723721177369,10,0.030251391570793058,1.0,1.0,1.0,numeric_tertile,3.0,13.3
adult,full_pool,HH,LogReg,l1_ratio,0.0275969349040945,0.018359352869409158,10,0.030251391570793058,2.0,0.0,1.0,numeric_tertile,3.0,10.5
adult,full_pool,HH,MLP,learning_rate_init,0.24536770281867284,0.0641848896382323,10,0.004822308588797348,1.0,1.0,1.0,numeric_exact,3.0,14.4
adult,full_pool,HH,MLP,hidden_layer_sizes,0.0943266385246014,0.045603058969886624,10,0.004822308588797348,2.5,0.0,0.9,categorical_exact,5.0,7.9
adult,full_pool,HH,MLP,alpha,0.05445730804690905,0.04479229308023289,10,0.004822308588797348,3.1,0.0,0.6,numeric_exact,4.0,10.1
adult,full_pool,HH,MLP,activation,0.04401705897005789,0.035700707008988475,10,0.004822308588797348,3.4,0.0,0.5,categorical_exact,2.0,22.3
adult,full_pool,HH,RF,max_depth,0.47664657412713557,0.11813369232032257,10,0.013874221287678401,1.0,1.0,1.0,numeric_exact,4.0,7.7
adult,full_pool,HH,RF,max_features,0.1348872961028458,0.058935487894381786,10,0.013440151051738708,2.4,0.0,0.9,categorical_exact,3.0,13.0
adult,full_pool,HH,RF,min_samples_leaf,0.04922557027891046,0.03997541122187483,10,0.013440151051738708,3.5,0.0,0.6,numeric_exact,3.0,12.9
adult,full_pool,HH,RF,min_samples_split,0.04558281414370281,0.03361767289524741,10,0.013440151051738708,3.6,0.0,0.5,numeric_exact,3.0,14.1
adult,full_pool,HH,RF,n_estimators,0.0197259874832465,0.014059959800634233,10,0.013440151051738708,4.5,0.0,0.0,numeric_exact,3.0,13.7
adult,full_pool,HH,kNN,n_neighbors,0.4918579937681239,0.017576507235496246,10,0.01117165600455316,1.0,1.0,1.0,numeric_tertile,3.0,15.1
adult,full_pool,HH,kNN,weights,0.005148615763261861,0.002421880328167972,10,0.01117165600455316,2.0,0.0,1.0,categorical_exact,2.0,24.3
adult,full_pool,HH,kNN,p,0.0008211149567731414,0.0007843840530369882,10,0.01117165600455316,3.0,0.0,1.0,numeric_exact,2.0,24.6
adult,full_pool,all,GBM,learning_rate,0.32678060729489056,0.07606119639924248,10,0.004559721595958373,1.0,1.0,1.0,numeric_exact,4.0,9.9
adult,full_pool,all,GBM,n_estimators,0.07700082769029058,0.05667390951533656,10,0.004559721595958373,2.4,0.0,0.9,numeric_exact,3.0,14.2
adult,full_pool,all,GBM,max_depth,0.031149219220253647,0.02067393842511188,10,0.004559721595958373,3.0,0.0,0.7,numeric_exact,4.0,9.7
adult,full_pool,all,GBM,subsample,0.0165362192034799,0.011826681367011555,10,0.004559721595958373,3.6,0.0,0.4,numeric_exact,3.0,13.9
adult,full_pool,all,LogReg,C,0.3133334033395442,0.05701426241073457,10,0.010262640397329045,1.0,1.0,1.0,numeric_tertile,3.0,13.3
adult,full_pool,all,LogReg,l1_ratio,0.028550611842445707,0.019135296482046996,10,0.010262640397329045,2.0,0.0,1.0,numeric_tertile,3.0,10.5
adult,full_pool,all,MLP,learning_rate_init,0.2988585930871606,0.06103893332654423,10,0.002199521184942151,1.0,1.0,1.0,numeric_exact,3.0,14.4
adult,full_pool,all,MLP,hidden_layer_sizes,0.09038035413171115,0.039837611624829176,10,0.002199521184942151,2.3,0.0,1.0,categorical_exact,5.0,7.9
adult,full_pool,all,MLP,alpha,0.05445953147012239,0.0454837238170139,10,0.002199521184942151,3.0,0.0,0.7,numeric_exact,4.0,10.1
adult,full_pool,all,MLP,activation,0.030734474616484257,0.026460045847873793,10,0.002199521184942151,3.7,0.0,0.3,categorical_exact,2.0,22.3
adult,full_pool,all,RF,max_depth,0.478888872215853,0.10401751166192039,10,0.005171784157461709,1.0,1.0,1.0,numeric_exact,4.0,7.7
adult,full_pool,all,RF,max_features,0.1537515528248519,0.062485678345099736,10,0.00516709471749078,2.3,0.0,1.0,categorical_exact,3.0,13.0
adult,full_pool,all,RF,min_samples_leaf,0.06884437496640947,0.0565054819102998,10,0.00516709471749078,3.2,0.0,0.6,numeric_exact,3.0,12.9
adult,full_pool,all,RF,min_samples_split,0.04718339151415725,0.044539079140332255,10,0.00516709471749078,3.9,0.0,0.3,numeric_exact,3.0,14.1
adult,full_pool,all,RF,n_estimators,0.02323240198546986,0.013977720998668706,10,0.00516709471749078,4.6,0.0,0.1,numeric_exact,3.0,13.7
adult,full_pool,all,kNN,n_neighbors,0.493319164313445,0.021185157541657482,10,0.005675655384339841,1.0,1.0,1.0,numeric_tertile,3.0,15.1
adult,full_pool,all,kNN,weights,0.006040221154315299,0.0025657263647083433,10,0.005675655384339841,2.0,0.0,1.0,categorical_exact,2.0,24.3
adult,full_pool,all,kNN,p,0.0007654003546450092,0.0005565865568697522,10,0.005675655384339841,3.0,0.0,1.0,numeric_exact,2.0,24.6
adult,full_pool,non_HH,GBM,learning_rate,0.2932069950697874,0.06715624831088347,10,0.002471269320804491,1.0,1.0,1.0,numeric_exact,4.0,9.9
adult,full_pool,non_HH,GBM,n_estimators,0.05310779651764928,0.04453782294806033,10,0.002471269320804491,2.6,0.0,0.8,numeric_exact,3.0,14.2
adult,full_pool,non_HH,GBM,max_depth,0.038192316668097345,0.029104072341824203,10,0.002471269320804491,2.7,0.0,0.9,numeric_exact,4.0,9.7
adult,full_pool,non_HH,GBM,subsample,0.013630466511107567,0.008622964984809725,10,0.002471269320804491,3.7,0.0,0.3,numeric_exact,3.0,13.9
adult,full_pool,non_HH,LogReg,C,0.3233899952022284,0.059316129514369556,10,0.00472810265728676,1.0,1.0,1.0,numeric_tertile,3.0,13.3
adult,full_pool,non_HH,LogReg,l1_ratio,0.030384232074681754,0.020616732348206677,10,0.00472810265728676,2.0,0.0,1.0,numeric_tertile,3.0,10.5
adult,full_pool,non_HH,MLP,learning_rate_init,0.33040042548206944,0.06395155799694463,10,0.0014677583667872716,1.0,1.0,1.0,numeric_exact,3.0,14.4
adult,full_pool,non_HH,MLP,hidden_layer_sizes,0.08697951228169833,0.03567877683227229,10,0.0014677583667872716,2.3,0.0,1.0,categorical_exact,5.0,7.9
adult,full_pool,non_HH,MLP,alpha,0.05437408829755641,0.04222061468898414,10,0.0014677583667872716,2.8,0.0,0.9,numeric_exact,4.0,10.1
adult,full_pool,non_HH,MLP,activation,0.02150833942900926,0.024631963213060423,10,0.0014677583667872716,3.9,0.0,0.1,categorical_exact,2.0,22.3
adult,full_pool,non_HH,RF,max_depth,0.46337522270928694,0.07332192174691406,10,0.0027499004801211325,1.0,1.0,1.0,numeric_exact,4.0,7.7
adult,full_pool,non_HH,RF,max_features,0.18107370318387145,0.07538539140574281,10,0.002865756763086859,2.3,0.0,0.9,categorical_exact,3.0,13.0
adult,full_pool,non_HH,RF,min_samples_leaf,0.1076575520897105,0.0795686935084937,10,0.002865756763086859,3.1,0.0,0.8,numeric_exact,3.0,12.9
adult,full_pool,non_HH,RF,min_samples_split,0.052321612274464815,0.058731668512248855,10,0.002865756763086859,4.1,0.0,0.2,numeric_exact,3.0,14.1
adult,full_pool,non_HH,RF,n_estimators,0.028989947704269863,0.01794950938443174,10,0.002865756763086859,4.5,0.0,0.1,numeric_exact,3.0,13.7
adult,full_pool,non_HH,kNN,n_neighbors,0.4941778649656926,0.02477491884446034,10,0.00414090772258933,1.0,1.0,1.0,numeric_tertile,3.0,15.1
adult,full_pool,non_HH,kNN,weights,0.006708823057152638,0.0028416894255611936,10,0.00414090772258933,2.0,0.0,1.0,categorical_exact,2.0,24.3
adult,full_pool,non_HH,kNN,p,0.0007534232402581009,0.0004434135911158457,10,0.00414090772258933,3.0,0.0,1.0,numeric_exact,2.0,24.6
